PMID,Title,Authors,Journal,Publication_Date,Volume,Issue,Pages,DOI,Abstract
41026796,Evaluation of Disparities in Management of Chronic Rhinosinusitis by Race and Ethnicity: An All of Us Research Program Study.,"Zhu, Christina; Zheng, Wynne; Clementi, Emily; Arslan, Maeen; Guirguis, Christopher et al.",American journal of rhinology & allergy,2025-Sep-30,,,19458924251383016,10.1177/19458924251383016,"ObjectiveTo evaluate disparities in the management of chronic rhinosinusitis (CRS) across racial, ethnic, and gender groups, focusing on treatment patterns and associated comorbidities.MethodsThis cross-sectional study analyzed data from 28,278 adults with CRS in the NIH All of Us Research Program between 2018 and 2022. Multivariable logistic regression was used to assess associations between demographic variables, associated comorbidities, and receipt of treatments including systemic steroids, ..."
41026592,Artificial Intelligence Model for Imaging-Based Extranodal Extension Detection and Outcome Prediction in Human Papillomavirus-Positive Oropharyngeal Cancer.,"Dayan, Gabriel S; Hénique, Gautier; Bahig, Houda; Nelson, Kristoff; Brodeur, Coralie et al.",JAMA otolaryngology-- head & neck surgery,2025-Sep-30,,,,10.1001/jamaoto.2025.3225,"IMPORTANCE: Although not included in the eighth edition of the American Joint Committee on Cancer Staging System, there is growing evidence suggesting that imaging-based extranodal extension (iENE) is associated with worse outcomes in HPV-associated oropharyngeal carcinoma (OPC). Key challenges with iENE include the lack of standardized criteria, reliance on radiological expertise, and interreader variability. OBJECTIVE: To develop an artificial intelligence (AI)-driven pipeline for lymph node s..."
41026481,Early Intratracheal Budesonide to Reduce Bronchopulmonary Dysplasia in Extremely Preterm Infants: The Budesonide in Babies (BiB) Randomized Clinical Trial.,"Ambalavanan, Namasivayam; Carlo, Waldemar A; Nowak, Kayla J; Wiener, Laura Elizabeth; Cosby, Shirley S et al.",JAMA,2025-Sep-30,,,,10.1001/jama.2025.16450,"IMPORTANCE: Extremely preterm infants are at high risk for bronchopulmonary dysplasia (BPD) and death. Multiple small randomized clinical trials showed that a combination of budesonide with surfactant compared with surfactant alone reduced BPD or death. OBJECTIVE: To determine if early intratracheal administration of a combination of budesonide (0.25 mg/kg) mixed with surfactant, compared with surfactant alone, reduces physiologic BPD or death by 36 weeks' postmenstrual age in extremely preterm ..."
41026480,The Complexity of Research on Moderate Alcohol Consumption and Health: The Consensus Report From NASEM.,"Calonge, Ned; Saldanha, Ian J; Stone, Katrina B",JAMA,2025-Sep-30,,,,10.1001/jama.2025.16914,
41026475,Artificial Intelligence Across the JAMA Network: A Call for Submissions.,"Liu, T Y Alvin; Hswen, Yulin; Bonow, Robert O; Carroll, Aaron E; Gross, Cary P et al.",JAMA,2025-Sep-30,,,,10.1001/jama.2025.15074,
41025561,Managing Venous Pulsatile Tinnitus Using Intraoperative Doppler Ultrasound: How I Do It.,"Lee, Chan Mi; Jeon, Min Chae; Seo, Jae-Hyun; Chua, Celeste Ann; Han, Jae Sang et al.",The Laryngoscope,2025-Sep-30,,,,10.1002/lary.70138,"Intraoperative Doppler ultrasound (IDU) can determine the exact location of sigmoid sinus dehiscence (SS-deh), diverticulum (SS-div) and large emissary vein (LEV). Furthermore, real-time measurement of the sufficiency during surgical SS-deh resurfacing procedures, periosteal flap insertion into the SS-div or LEV compression is possible with IDU."
41025555,Projectile Embedded in the Tuberculum Sellae.,"Faraji, Farhoud; Brandel, Michael G; Santiago-Dieppa, David R; Beaumont, Thomas L; DeConde, Adam S",International forum of allergy & rhinology,2025-Sep-30,,,,10.1002/alr.70042,
41025540,Patient-Specific Coculture of S. aureus and P. aeruginosa Enhances Epithelial Barrier Disruption and Virulence in CRS.,"MMed, Xiaohan Sun; Ramezanpour, Mahnaz; Hall, Jordan; Barry, Emma; Psaltis, Alkis J et al.",International forum of allergy & rhinology,2025-Sep-30,,,,10.1002/alr.70036,"BACKGROUND: Chronic rhinosinusitis (CRS) is a chronic inflammatory disease that is associated with polymicrobial infections, often involving S. aureus and P. aeruginosa. It is unclear whether the polymicrobial context plays a role in exacerbating epithelial damage, inflammation, and resistance to therapy. METHODS: S. aureus and P. aeruginosa (n = 3 each) biofilms were established in a Transwell system, followed by the extraction of P. aeruginosa conditioned media and application to an air-liquid..."
41025537,Sinonasal Sarcomas Management: An International Consensus Statement.,"Vinciguerra, Alessandro; Caspani, Francesca; Valentini, Marco; Camarda, Anna Maria; Provenzano, Salvatore et al.",International forum of allergy & rhinology,2025-Sep-30,,,,10.1002/alr.70038,"INTRODUCTION: Sinonasal sarcomas are exceedingly rare entities, constituting less than 7% of head and neck sarcomas. Their complex histology needs specialized treatment, which is often based on multimodal approaches including surgery, radiation therapy, and/or chemotherapy. This manuscript aims to gather expert opinions to establish common management principles for sinonasal sarcomas. METHODS: This international consensus followed a modified Delphi method in seven steps, including statements def..."
41025535,Effects of Steroid Usage in Diabetic COVID-19 Patients on Acute Invasive Fungal Sinusitis Incidence: A National Clinical Cohort Collaborative COVID-19 Enclave Study.,"Ji, Jenny; Kallogjeri, Dorina; Piccirillo, Jay F; Zhang, Linying; Roland, Lauren",International forum of allergy & rhinology,2025-Sep-30,,,,10.1002/alr.70039,
