PMID,Title,Journal,Authors,PublicationDate,Volume,Issue,Pages,DOI,Abstract
41616594,Current status of powered intracapsular tonsillectomy and adenoidectomy: A minimally invasive paradigm for pediatric obstructive sleep apnea surgery.,"Auris, nasus, larynx",Masamitsu Kono; Masao Noda; Manabu Komori; Nayu Yokoyama; Masakazu Hamamoto; Mari Shimada; Hirotaka Hara; Makoto Ito,2026-Jan-29,53,2,217-229,10.1016/j.anl.2026.01.007,
41616076,Sex-specific differences in chronic rhinosinusitis with nasal polyps: toward more personalized management.,Rhinology,S Toppila-Salmi,2026-Jan-30,,,,10.4193/Rhin26.901,
41615678,Light Activity Lowers Death Risk in CKM Syndrome.,JAMA,Samantha Anderer,2026-Jan-30,,,,10.1001/jama.2025.26369,
41615675,Health Care Plan Aims to Lower US Drug Costs and Increase Transparency.,JAMA,Samantha Anderer,2026-Jan-30,,,,10.1001/jama.2025.26368,
41615674,Data on 3 New GLP-1 Drugs for Weight Loss That May Be Approved This Year.,JAMA,Rita Rubin,2026-Jan-30,,,,10.1001/jama.2026.0287,
41615671,"As US Overdose Deaths Drop, Researchers Search for Explanations.",JAMA,Samantha Anderer,2026-Jan-30,,,,10.1001/jama.2026.0553,
41615670,US Skilled Nursing Facility Capacity Fell 5% Since COVID-19 Pandemic.,JAMA,Samantha Anderer,2026-Jan-30,,,,10.1001/jama.2025.26365,
41615669,FDA Requests Removal of Suicidal Ideation Warning From GLP-1 RA Medications.,JAMA,Samantha Anderer,2026-Jan-30,,,,10.1001/jama.2025.26370,
41615668,High-Dose Flu Vaccine Demonstrates Benefits in Older Adults With Diabetes.,JAMA,Samantha Anderer,2026-Jan-30,,,,10.1001/jama.2025.26366,
41615667,Bariatric Surgery and GLP-1 Drugs Both Support Sustained Fat Loss.,JAMA,Samantha Anderer,2026-Jan-30,,,,10.1001/jama.2025.26367,
41614236,Objective Assessment of Laryngopharyngeal Reflux in Laryngeal Contact Granuloma.,The Laryngoscope,Hyun Jee Lee; Seung Yup Son; Su Il Kim; Young Chan Lee; Seong-Gyu Ko; Young-Gyu Eun,2026-Jan-30,,,,10.1002/lary.70407,
41609813,Hypotensive Agents for Controlled Hypotension in Endoscopic Sinus Surgery: A Systematic Review and Network Meta-Analysis.,JAMA otolaryngology-- head & neck surgery,Abdelrahman Saeed; Omar Saeed; Mohamedhen Vall Nounou; Edward D McCoul; Qasi Najah; Sara Saleh; Osama Barakat; Ahmed Wahhab; Longgang Yu; Muhammed Elhadi,2026-Jan-29,,,,10.1001/jamaoto.2025.5222,
41609804,What Can 50-Year-Old Chatbots Teach Us About Clinical Applications of AI?,JAMA,Roy Perlis,2026-Jan-29,,,e2526751,10.1001/jama.2025.26751,
41609788,Electronic Health Record Intervention and Deprescribing for Older Adults: A Randomized Clinical Trial.,JAMA,Julie C Lauffenburger; Meekang Sung; Robert J Glynn; Punam A Keller; Ted Robertson; Dae H Kim; Gauri Bhatkhande; Katharina Tabea Jungo; Nancy Haff; Kaitlin E Hanken; Thomas Isaac; Niteesh K Choudhry,2026-Jan-29,,,,10.1001/jama.2025.26967,
41609779,Beyond the Usual Fashion-Rethinking the Operative Report.,JAMA otolaryngology-- head & neck surgery,Edward D McCoul,2026-Jan-29,,,,10.1001/jamaoto.2025.4987,
41609777,Early Intratracheal Budesonide to Reduce Bronchopulmonary Dysplasia in Extremely Preterm Infants.,JAMA,Zhenhan Deng; Shuguang Gao; Chunwu Zhang,2026-Jan-29,,,,10.1001/jama.2025.23793,
