PMID,Title,Authors,Journal,Publication_Date,Volume,Issue,Pages,DOI,Abstract
40889202,Interstitial pneumonia caused by Photoimmunotherapy with cetuximab-IR700 conjugate.,"Suekata, Yu; Otsuka, Tomoyuki; Asai, Takuya; Uemura, Kenta; Kojitani, Yoshiki et al.","Auris, nasus, larynx",2025-Aug,52,4,394-397,10.1016/j.anl.2025.06.008,"Photoimmunotherapy (PIT) is a newly developed cancer therapy that uses the tumor-targeted monoclonal antibody cetuximab conjugated to the photoabsorbing dye IR700. It is currently approved for the treatment of unresectable, locally advanced, or locoregionally recurrent head and neck cancers in Japan. However, data regarding the clinical safety of PIT are currently limited in the literature. Herein, we report the case of a 70-year-old man with nasopharyngeal squamous cell carcinoma who developed ..."
40884493,Bivalent RSV Prefusion F Protein-Based Vaccine for Preventing Cardiovascular Hospitalizations in Older Adults: A Prespecified Analysis of the DAN-RSV Trial.,"Lassen, Mats C Højbjerg; Johansen, Niklas Dyrby; Christensen, Sine H; Aliabadi, Negar; Skaarup, Kristoffer G et al.",JAMA,2025-Aug-30,,,,10.1001/jama.2025.15405,"IMPORTANCE: Respiratory syncytial virus (RSV) infection is linked to elevated cardiovascular risk, particularly in individuals with preexisting cardiovascular disease (CVD). A bivalent RSV prefusion F protein (RSVpreF) vaccine was recently approved for preventing RSV-related lower respiratory tract illness, but its effectiveness against cardiovascular outcomes has not been evaluated in a randomized trial. OBJECTIVE: To investigate the vaccine effectiveness of RSVpreF compared with no vaccine aga..."
40884491,RSV Vaccine Effectiveness Against Hospitalization Among US Adults Aged 60 Years or Older During 2 Seasons.,"Surie, Diya; Self, Wesley H; Yuengling, Katharine A; Lauring, Adam S; Zhu, Yuwei et al.",JAMA,2025-Aug-30,,,,10.1001/jama.2025.15896,"IMPORTANCE: Respiratory syncytial virus (RSV) vaccines for adults aged 60 years or older became available in 2023. One dose is recommended for all adults aged 75 years or older and those aged 60 to 74 years at increased risk of severe RSV; however, duration of protection is unknown. OBJECTIVE: To evaluate RSV vaccine effectiveness against RSV-associated hospitalization among adults aged 60 years or older during 2 RSV seasons. DESIGN, SETTING, AND PARTICIPANTS: A total of 6958 adults aged 60 year..."
40886311,Lifelong Anticoagulation After AF Ablation-Time to Reconsider?,"Gerstenfeld, Edward P; Lee, Xiang Wen",JAMA,2025-Aug-31,,,,10.1001/jama.2025.14669,
40886310,Fractional Flow Reserve-Guided Complete vs Culprit-Only Revascularization in Non-ST-Elevation Myocardial Infarction and Multivessel Disease: The SLIM Randomized Clinical Trial.,"Pustjens, Tobias F S; Veenstra, Leo; Camaro, Cyril; Ruiters, Alexander W; Lux, Árpad et al.",JAMA,2025-Aug-31,,,,10.1001/jama.2025.16189,"IMPORTANCE: The benefits of fractional flow reserve (FFR)-guided complete coronary revascularization in patients with non-ST-segment elevation myocardial infarction (NSTEMI) and multivessel disease remain unclear. OBJECTIVE: To compare FFR-guided complete revascularization of nonculprit lesions vs culprit-only revascularization in patients with NSTEMI and multivessel disease. DESIGN, SETTING, AND PARTICIPANTS: This prospective, investigator-initiated, multicenter, international randomized clinic..."
40886309,Long-Term Anticoagulation Discontinuation After Catheter Ablation for Atrial Fibrillation: The ALONE-AF Randomized Clinical Trial.,"Kim, Daehoon; Shim, Jaemin; Choi, Eue-Keun; Oh, Il-Young; Kim, Jun et al.",JAMA,2025-Aug-31,,,,10.1001/jama.2025.14679,"IMPORTANCE: Data from randomized clinical trials on a long-term anticoagulation strategy for patients after catheter-based ablation for atrial fibrillation (AF) are lacking. OBJECTIVE: To evaluate whether discontinuing oral anticoagulant therapy provides superior clinical outcomes compared with continuing oral anticoagulant therapy in patients without documented atrial arrhythmia recurrence after catheter ablation for AF. DESIGN, SETTING, AND PARTICIPANTS: A randomized clinical trial including 8..."
40886293,Association of Nasal Septal Deviation and Recurrent Epistaxis in Adults.,"Reddy, Sairisheel Gabbi; Cui, Ruifeng; Aprahamian, Armen; Seman, Andrew; Latterner, Camron et al.",International forum of allergy & rhinology,2025-Aug-31,,,,10.1002/alr.70025,
40886075,Semaglutide and Tirzepatide in Patients With Heart Failure With Preserved Ejection Fraction.,"Krüger, Nils; Schneeweiss, Sebastian; Fuse, Kenshiro; Matseyko, Sofiya; Sreedhara, Sushama Kattinakere et al.",JAMA,2025-Aug-31,,,,10.1001/jama.2025.14092,"IMPORTANCE: Heart failure with preserved ejection fraction (HFpEF) is a major cause of hospitalization, often occurring in patients with cardiometabolic comorbidities such as obesity and type 2 diabetes. Although early trials of semaglutide and tirzepatide have shown promising results in improving symptoms, those findings were based on few clinical events, leaving treatment recommendations uncertain. OBJECTIVE: To evaluate the effectiveness and safety of semaglutide and tirzepatide in patients w..."
40884494,Shot Through the Heart-Can RSV Vaccination Reduce Risk of Cardiovascular Outcomes?,"Chu, Helen Y; Murray, Alastair F",JAMA,2025-Aug-30,,,,10.1001/jama.2025.16705,
40884290,Effectiveness and Safety of Dupilumab Monotherapy in Japanese Patients With Chronic Rhinosinusitis With Nasal Polyps.,"Fujieda, Shigeharu; Takabayashi, Tetsuji; Ohta, Nobuo; Yoshikawa, Mamoru; Kibe, Yuki et al.",The Laryngoscope,2025-Aug-30,,,,10.1002/lary.70037,"OBJECTIVES: The randomized, double-blind, placebo-controlled LIBERTY SINUS-24 and SINUS-52 studies demonstrated that dupilumab is effective for chronic rhinosinusitis with nasal polyps (CRSwNP) when used with an intranasal corticosteroid (INCS); however, INCSs are not approved for CRSwNP in Japan. The current study aimed to investigate the effectiveness and safety of dupilumab monotherapy in Japanese individuals with CRSwNP. METHODS: This phase 4, open-label, single-arm, multicenter study enroll..."
40884265,Surgical Management of a Cerebellopontine Angle Tumor After Sudden Onset Facial Paralysis.,"Meller, Leo L T; Bennion, Douglas M; Kannampalli, Pradeep; Schwartz, Marc S; Friedman, Rick A",The Laryngoscope,2025-Aug-30,,,,10.1002/lary.70089,"Patients with cerebellopontine angle tumors rarely experience acute facial weakness. In this report, we summarize a case where immediate tumor decompression after a patient presented with sudden ipsilateral flaccid facial palsy resulted in complete recovery of facial nerve function, followed by staged gross total tumor resection. Return of facial nerve function was predicted by intraoperative facial cortico-bulbar motor evoked potentials, a relatively recent innovation in real-time nerve monitor..."
40875250,Prognostic Subgroups for Disease-Free Survival With Cutaneous Squamous Cell Carcinoma of the Head and Neck: A Secondary Analysis of a Randomized Clinical Trial.,"Porceddu, Sandro Virgilio; Connolly, Emma; Bressel, Mathias; Wratten, Chris; Liu, Howard Yu-Hao et al.",JAMA otolaryngology-- head & neck surgery,2025-Aug-28,,,,10.1001/jamaoto.2025.2110,"IMPORTANCE: Cutaneous squamous cell carcinoma is a common cancer, and approximately 5% of cases present with high-risk features, such as regional nodal metastases. Postoperative radiotherapy (PORT) improves outcomes in this group, but the TROG 05.01 trial found no added benefit of concurrent chemotherapy. Identification of patients with poor disease-free survival (DFS) is critical to optimize future adjuvant treatment strategies. OBJECTIVE: To identify a subgroup of patients with poor DFS follow..."
40875244,Contributing Factors to the Nonpublication of Head and Neck Cancer Clinical Trials.,"Lewis, Ethan; Zolkind, Paul; Kallogjeri, Dorina; Piccirillo, Jay F",JAMA otolaryngology-- head & neck surgery,2025-Aug-28,,,,10.1001/jamaoto.2025.2549,
40875240,Adenotonsillectomy and Blood Pressure in Children With Mild Obstructive Sleep-Disordered Breathing: An Exploratory Analysis of the PATS Randomized Clinical Trial.,"Cabrera, Agustin J; Li, Dongdong; Redline, Susan; Chervin, Ronald D; Ishman, Stacey L et al.",JAMA otolaryngology-- head & neck surgery,2025-Aug-28,,,,10.1001/jamaoto.2025.2555,"IMPORTANCE: The impact of adenotonsillectomy on blood pressure (BP) in children with mild obstructive sleep-disordered breathing (oSDB) remains unclear. OBJECTIVE: To compare BP trajectories in children with mild oSDB randomized to early adenotonsillectomy (eAT) vs watchful waiting with supportive care (WWSC). DESIGN, SETTING, AND PARTICIPANTS: This was a secondary outcome exploratory analysis of the Pediatric Adenotonsillectomy Trial for Snoring (PATS), a randomized clinical trial where childre..."
40880114,HHS Ends mRNA Vaccine Development.,"Anderer, Samantha",JAMA,2025-Aug-29,,,,10.1001/jama.2025.11013,
40880110,"COVID-19, Flu May Reawaken Dormant Cancer Cells.","Anderer, Samantha",JAMA,2025-Aug-29,,,,10.1001/jama.2025.14772,
40880098,CDC: Kindergarten Vaccine Exemptions Rise.,"Anderer, Samantha",JAMA,2025-Aug-29,,,,10.1001/jama.2025.11015,
40880080,"Twenty Years After Hurricane Katrina, What Are Its Legacy and Lessons?","Schneider, Lauren",JAMA,2025-Aug-29,,,,10.1001/jama.2025.13593,
40880076,"Low Back Pain Reduced With Cognitive Functional Therapy, Study Finds.","Anderer, Samantha",JAMA,2025-Aug-29,,,,10.1001/jama.2025.11014,
40879887,Histopathologic Features of Eosinophilic Versus Mixed Eosinophilic‒Neutrophilic Chronic Rhinosinusitis Histopathologic Features of CRS Endotypes.,"Patel, Evan A; Baird, Ali M; Gattuso, Paolo; Allen-Proctor, Mary; Filip, Peter et al.",International forum of allergy & rhinology,2025-Aug-09,,,,10.1002/alr.70011,
40879607,Olfactory Function Recovery in Endoscopic Transsphenoidal Pituitary Surgery.,"Venkatesh, Sanjena; Wilensky, Jadyn; Espinosa, Maria; Yu, Alison J; Kohanski, Michael A et al.",International forum of allergy & rhinology,2025-Aug-11,,,,10.1002/alr.70015,Olfactory flap preservation in transsphenoidal surgery (TSA) promotes early olfactory recovery. Objective olfactory function recovers faster than subjective olfaction following TSA. Olfactory-specific and sinonasal olfactory-specific quality of life (QOL) smell scores show divergent recovery timelines.
