date,presenter,pmid,title,journal,authors,doi,abstract,notes,pdf
2025-10-31,,41171293,Long COVID Trial Explores Anti-Inflammatory Treatment.,JAMA,"Anderer, Samantha",10.1001/jama.2025.17537,,,
2025-10-31,,41171291,Normal BMI With Abdominal Obesity Associated With Cardiometabolic Risks.,JAMA,"Pant, Shravya",10.1001/jama.2025.17532,,,
2025-10-31,,41171285,Living With Dementia Report Emphasizes That Even Those With Advanced Disease Have Stories to Share.,JAMA,"Rubin, Rita",10.1001/jama.2025.20285,,,
2025-10-31,,41171284,New Hand Hygiene Guidelines From WHO and UNICEF.,JAMA,"Pant, Shravya",10.1001/jama.2025.17538,,,
2025-10-31,,41171266,How Tumor-Infiltrating Bacteria May Contribute to Chemotherapy Resistance.,JAMA,"Anderer, Samantha",10.1001/jama.2025.17539,,,
2025-10-31,,41171265,What to Know About the New Blood Pressure Guidelines.,JAMA,"Abbasi, Jennifer",10.1001/jama.2025.17664,,,
2025-10-31,,41171258,First-Trimester COVID-19 Vaccination Not Associated With Congenital Risks.,JAMA,"Pant, Shravya",10.1001/jama.2025.17533,,,
2025-10-31,,41171255,"One in 6 Common Bacterial Infections Are Resistant to Antibiotics, WHO Warns.",JAMA,"Pant, Shravya",10.1001/jama.2025.17534,,,
2025-10-31,,41171089,Local IgE is a superior biomarker than serum IgE for nasal type 2 inflammation in house dust mites sensitized allergic rhinitis.,Rhinology,"Zhang, Z; Zhang, X; Li, J; Song, Y; Xi, L et al.",10.4193/Rhin25.381,"BACKGROUND: Allergic rhinitis (AR), an immunoglobulin E (IgE)-mediated inflammatory disease, is frequently associated with house dust mites (HDMs), particularly Dermatophagoides pteronyssinus (Der p) and Dermatophagoides farinae (Der f). While serum allergen-specific IgE (sIgE) is widely used, the diagnostic value of local sIgE and its interplay with systemic IgE and nasal cytokines remains unclear. This study evaluated local sIgE performance, nasal cytokine profiles, and nonlinear local-serum s...",,
2025-10-31,,41170812,"How I Do It: A Novel, Single-Stage Technique for BAHA to Osia Conversions.",The Laryngoscope,"Jukic, Alma; Steed, Ashton Huppert; House, Trent; Prevost, Marine; Flores, Nancy et al.",10.1002/lary.70227,,,
2025-10-30,,41165718,Pattern-Mixture Models for Missing Data.,JAMA,"Little, Roderick J",10.1001/jama.2025.18109,,,
2025-10-30,,41165717,"Mind, Machine, and Medicine-Challenges and Opportunities.",JAMA otolaryngology-- head & neck surgery,"Lydiatt, William Bill",10.1001/jamaoto.2025.4108,,,
2025-10-30,,41165716,Screening for Hepatitis C in Emergency Departments.,JAMA,"Gallo, Paolo; Vespasiani-Gentilucci, Umberto; Antonelli-Incalzi, Raffaele",10.1001/jama.2025.17078,,,
